#Gain index    ADU value (12 bit)
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
1               3655
