2023-09-13 10:16:37,593 [   1582]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/lib, version=221.5080.212, package=null, isBundled=true)
2023-09-13 10:16:37,596 [   1585]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/lib, version=221.5080.212, package=null, isBundled=true)
2023-09-13 10:16:37,597 [   1586]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/lib, version=221.5080.212, package=null, isBundled=true)
2023-09-13 10:16:37,597 [   1586]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Visual Studio" not found PluginDescriptor(name=IDEA CORE, id=com.intellij, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/lib, version=221.5080.212, package=null, isBundled=true)
2023-09-13 10:16:37,791 [   1780]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/plugins/python-ce, version=221.5080.212, package=null, isBundled=true)
2023-09-13 10:16:37,792 [   1781]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "NetBeans 6.5" not found PluginDescriptor(name=Python Community Edition, id=PythonCore, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/plugins/python-ce, version=221.5080.212, package=null, isBundled=true)
2023-09-13 10:16:37,816 [   1805]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=GitHub, id=org.jetbrains.plugins.github, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/plugins/github, version=221.5080.212, package=org.jetbrains.plugins.github, isBundled=true)
2023-09-13 10:16:37,820 [   1809]   WARN - #c.i.o.a.i.ActionManagerImpl - keymap "Eclipse" not found PluginDescriptor(name=Space, id=com.jetbrains.space, moduleName=intellij.space.vcs, descriptorPath=intellij.space.vcs.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/plugins/space, version=221.5080.212, package=com.intellij.space.vcs, isBundled=true)
2023-09-13 10:16:38,095 [   2084]   WARN - #c.i.n.i.NotificationGroupManagerImpl - Notification group CodeWithMe is already registered (group=com.intellij.notification.NotificationGroup@52b53f14). Plugin descriptor: PluginDescriptor(name=Code With Me, id=com.jetbrains.codeWithMe, descriptorPath=plugin.xml, path=/afs/psi.ch/project/sls_det_software/pycharm-community-2022.1/plugins/cwm-plugin, version=221.5080.212, package=null, isBundled=true)
Info  | RdCoroutineScope          | 17:JobScheduler FJ pool 2/3 | RdCoroutineHost overridden 
2023-09-13 10:16:43,129 [   7118]   WARN - #g.r.GitUntrackedFilesHolder - Ignoring ignored file under another root: /opt/sls/pyctbgui/pyctbgui/utils/numpyWriter/__pycache__; root: /opt/sls/pyctbgui; mapped root: null
2023-09-13 10:16:43,131 [   7120]   WARN - #g.r.GitUntrackedFilesHolder - Ignoring ignored file under another root: /opt/sls/pyctbgui/pyctbgui/__pycache__; root: /opt/sls/pyctbgui; mapped root: null
2023-09-13 10:16:43,131 [   7120]   WARN - #g.r.GitUntrackedFilesHolder - Ignoring ignored file under another root: /opt/sls/pyctbgui/pyctbgui/services/__pycache__; root: /opt/sls/pyctbgui; mapped root: null
